StudentID,G1,G2,G3,Mjob,Fjob,age,address,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
1,6,2,2,teacher,at_home,21,rural,3,1,no,yes,yes,yes,yes,yes,no,yes
2,19,11,18,health,teacher,18,rural,1,1,no,no,no,no,yes,no,no,no
3,14,7,19,health,other,20,urban,1,1,yes,yes,yes,no,no,no,yes,yes
4,10,2,6,services,health,21,urban,3,1,yes,no,yes,no,yes,no,no,no
5,7,0,19,health,health,18,rural,4,1,no,no,yes,no,yes,yes,yes,no
6,6,2,8,health,other,17,urban,1,1,yes,yes,no,no,no,yes,no,yes
7,18,4,0,services,at_home,16,urban,2,2,yes,no,no,yes,yes,no,yes,yes
8,10,14,7,health,health,21,rural,1,2,no,no,no,yes,yes,yes,no,yes
9,10,13,6,health,at_home,19,urban,2,2,no,no,no,no,yes,no,no,no
10,3,2,17,health,health,19,rural,4,2,yes,yes,no,yes,yes,yes,no,yes
11,7,0,7,teacher,health,17,urban,3,1,no,no,yes,no,yes,yes,no,no
12,2,4,0,teacher,services,18,rural,1,3,yes,no,no,no,yes,yes,no,no
13,1,13,10,teacher,health,15,rural,3,0,yes,no,yes,yes,no,yes,yes,yes
14,11,6,17,services,teacher,18,rural,1,1,yes,yes,yes,yes,no,no,no,yes
15,5,8,9,other,other,17,urban,2,0,no,no,no,yes,yes,no,no,no
16,1,14,2,health,other,19,rural,3,3,yes,yes,no,no,yes,no,no,no
17,0,14,6,health,at_home,18,urban,1,2,yes,yes,yes,yes,no,yes,yes,no
18,11,9,15,services,health,19,urban,2,3,yes,yes,yes,no,yes,no,no,yes
19,11,12,15,health,teacher,21,urban,3,1,no,yes,yes,no,yes,no,yes,no
20,16,18,19,teacher,at_home,15,urban,3,2,no,yes,no,no,yes,no,no,yes
21,9,6,16,other,services,21,rural,1,1,no,yes,no,yes,no,yes,no,no
22,15,16,1,at_home,at_home,19,rural,1,2,no,no,no,yes,yes,yes,yes,no
23,14,19,0,health,at_home,19,urban,1,0,no,yes,no,no,no,yes,no,yes
24,14,3,15,teacher,health,16,urban,2,0,yes,no,no,yes,yes,no,yes,no
25,18,4,11,at_home,services,16,rural,1,0,no,no,yes,yes,no,no,yes,yes
26,11,6,4,other,at_home,21,urban,3,3,no,yes,no,yes,no,no,no,yes
27,19,12,4,at_home,teacher,20,rural,3,1,no,no,yes,no,yes,yes,yes,no
28,2,14,8,teacher,teacher,21,urban,1,3,yes,no,yes,no,no,yes,no,yes
29,4,10,8,at_home,other,16,urban,1,0,no,no,yes,yes,yes,no,no,yes
30,18,3,2,services,services,19,rural,4,1,no,no,no,no,no,yes,yes,no
31,6,12,18,at_home,services,17,urban,3,0,yes,yes,no,yes,yes,yes,yes,yes
32,8,6,15,health,other,21,rural,2,3,no,no,no,yes,yes,yes,yes,yes
33,6,18,15,health,at_home,19,urban,4,3,yes,yes,yes,yes,no,yes,yes,yes
34,17,1,2,services,services,17,urban,1,3,yes,no,yes,yes,yes,no,no,no
35,3,9,19,teacher,teacher,17,urban,1,0,yes,no,yes,no,yes,yes,no,yes
36,13,12,0,health,teacher,16,rural,3,1,yes,yes,yes,no,no,yes,yes,no
37,17,5,19,other,health,21,urban,1,1,yes,no,yes,no,yes,yes,no,no
38,8,11,10,health,services,18,urban,2,0,no,no,yes,yes,yes,yes,no,yes
39,1,11,16,health,at_home,15,urban,3,1,yes,no,no,yes,no,no,no,yes
40,19,19,7,teacher,other,16,urban,1,0,yes,yes,no,yes,no,no,no,yes
41,14,10,3,at_home,other,16,rural,3,1,no,no,no,no,yes,yes,yes,no
42,6,6,5,health,at_home,18,rural,1,2,yes,yes,no,yes,yes,yes,yes,yes
43,11,0,7,services,health,15,urban,1,2,no,no,yes,no,no,yes,no,yes
44,7,0,19,at_home,other,19,rural,1,3,no,yes,yes,no,no,yes,yes,yes
45,14,19,2,other,services,20,urban,2,2,no,yes,no,no,yes,yes,yes,yes
46,2,12,15,teacher,health,21,urban,2,2,yes,no,yes,no,no,yes,yes,yes
47,13,8,2,other,services,20,urban,3,2,yes,no,no,no,yes,no,no,no
48,16,2,17,at_home,teacher,19,rural,1,0,yes,yes,no,no,yes,yes,no,no
49,3,6,13,at_home,health,16,rural,1,2,no,yes,no,yes,yes,no,no,yes
50,17,5,17,at_home,other,15,rural,2,2,yes,no,yes,yes,yes,no,yes,yes
51,7,7,1,other,health,16,rural,1,3,yes,yes,no,no,yes,yes,no,yes
52,3,8,2,at_home,health,17,rural,2,2,yes,no,no,no,no,no,no,yes
53,1,4,15,other,health,16,rural,1,2,no,no,no,yes,no,no,yes,no
54,5,0,8,at_home,health,16,rural,3,1,no,no,yes,no,no,no,no,yes
55,9,18,3,services,services,19,rural,1,3,yes,no,yes,no,no,no,no,no
56,3,9,0,at_home,teacher,19,rural,1,3,yes,yes,no,yes,yes,no,yes,no
57,17,11,3,other,at_home,19,urban,4,3,yes,no,yes,no,yes,no,yes,yes
58,11,14,0,health,health,20,rural,2,3,yes,yes,yes,no,yes,yes,yes,no
59,1,8,13,at_home,other,17,rural,1,3,no,no,yes,no,yes,no,no,no
60,9,19,15,health,health,19,rural,1,3,no,yes,yes,yes,no,no,no,no
61,3,16,19,services,other,15,rural,4,0,no,no,yes,yes,yes,no,no,no
62,13,16,7,teacher,services,20,rural,4,2,no,yes,yes,yes,yes,yes,yes,yes
63,15,19,6,services,other,18,rural,2,3,yes,yes,yes,no,no,no,yes,yes
64,14,11,2,at_home,at_home,15,rural,4,2,yes,no,yes,no,no,yes,no,no
65,7,6,16,health,teacher,21,rural,3,2,yes,no,yes,yes,no,no,no,yes
66,13,1,0,health,other,21,rural,4,0,no,no,yes,no,no,yes,yes,yes
67,7,2,15,other,other,15,rural,3,3,yes,no,no,no,yes,yes,yes,yes
68,15,16,11,health,teacher,19,rural,2,1,no,yes,no,no,yes,no,yes,yes
69,12,4,18,other,at_home,18,urban,2,0,no,no,yes,no,no,no,yes,yes
70,17,16,13,teacher,health,18,urban,2,1,yes,yes,no,no,yes,yes,no,no
71,14,16,5,at_home,other,20,rural,2,2,yes,yes,no,yes,yes,no,yes,yes
72,12,16,5,other,teacher,18,rural,2,2,yes,no,yes,no,yes,yes,no,yes
73,8,1,12,teacher,services,21,urban,3,0,no,yes,yes,yes,no,yes,no,yes
74,14,1,18,health,teacher,17,rural,3,0,yes,yes,yes,no,yes,yes,no,yes
75,12,4,7,health,services,19,urban,2,1,no,yes,no,yes,no,yes,yes,no
76,0,0,1,teacher,at_home,18,urban,4,3,yes,yes,no,no,yes,yes,yes,no
77,6,0,0,health,health,20,urban,1,1,no,no,yes,yes,yes,no,yes,no
78,8,18,14,teacher,teacher,21,urban,2,0,no,no,yes,no,yes,yes,yes,no
79,0,1,0,other,other,17,urban,4,1,yes,no,yes,yes,no,yes,no,yes
80,11,11,4,other,at_home,16,rural,1,0,no,no,no,no,yes,no,yes,no
81,7,5,15,teacher,teacher,16,urban,2,1,no,yes,no,yes,no,yes,yes,yes
82,10,3,18,other,other,17,rural,2,0,yes,yes,no,no,no,no,no,yes
83,18,10,3,other,teacher,21,rural,3,0,no,no,no,yes,no,no,yes,yes
84,16,16,2,other,services,20,urban,1,0,yes,no,yes,yes,yes,no,no,yes
85,7,5,16,services,teacher,17,urban,1,3,no,no,yes,no,yes,yes,no,yes
86,2,4,16,at_home,teacher,19,rural,4,1,yes,yes,yes,no,yes,yes,no,no
87,2,19,11,health,teacher,19,urban,3,1,yes,no,yes,yes,yes,yes,no,no
88,0,1,13,services,at_home,16,urban,3,1,no,no,no,no,no,no,no,no
89,4,5,5,other,teacher,18,rural,3,0,no,no,no,yes,no,yes,no,no
90,9,10,2,teacher,other,20,rural,3,1,no,yes,yes,yes,no,no,no,yes
91,6,15,8,other,services,16,urban,1,1,no,yes,yes,yes,yes,yes,no,no
92,8,15,4,at_home,services,18,rural,1,0,no,yes,no,no,no,no,yes,yes
93,6,0,16,other,teacher,18,urban,2,2,yes,yes,yes,yes,yes,yes,yes,no
94,8,8,13,teacher,at_home,19,urban,2,0,no,yes,no,yes,no,yes,yes,yes
95,7,5,2,at_home,at_home,21,urban,3,1,yes,yes,yes,no,yes,yes,yes,yes
96,11,15,0,other,other,15,rural,3,0,yes,yes,yes,no,yes,no,no,no
97,1,2,19,at_home,teacher,21,rural,3,2,no,yes,yes,no,no,no,yes,yes
98,0,19,0,health,services,15,rural,2,0,yes,no,yes,no,no,yes,no,yes
99,15,3,2,health,at_home,17,rural,4,1,yes,no,yes,yes,no,yes,yes,no
100,4,18,17,other,teacher,19,rural,4,2,yes,yes,yes,yes,no,no,yes,yes
